epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.1773,1.18324,2.2268,1.24538,0.79543,0.34881,0.66894,0.4222,1.17354,2.13131,1.02958,0.000649573,0.000649573,0.000649573
2,125.553,1.11345,1.22464,1.18983,0.71436,0.77206,0.82459,0.56515,1.09011,1.2984,1.10494,0.00118593,0.00118593,0.00118593
3,186.852,1.0791,1.09531,1.14674,0.74283,0.77736,0.83055,0.50858,1.16216,1.24325,1.10219,0.00159029,0.00159029,0.00159029
4,247.78,1.08219,1.04583,1.12712,0.79072,0.82322,0.88188,0.61056,1.05185,1.11155,1.10453,0.001406,0.001406,0.001406
5,309.375,1.0692,0.99892,1.13699,0.7436,0.84937,0.86465,0.5736,1.08119,1.01317,1.1191,0.001208,0.001208,0.001208
6,370.318,1.05011,0.95525,1.11177,0.77497,0.84697,0.88449,0.60479,1.08409,0.99025,1.13242,0.00101,0.00101,0.00101
7,431.955,1.01472,0.90097,1.10962,0.83451,0.7983,0.90116,0.64436,0.99425,0.89842,1.07679,0.000812,0.000812,0.000812
8,495.614,1.00549,0.87471,1.08382,0.78014,0.83377,0.88237,0.58406,1.09208,0.96533,1.13636,0.000614,0.000614,0.000614
9,557.023,0.99401,0.86096,1.09115,0.84779,0.79947,0.90335,0.6521,0.99607,0.86746,1.07548,0.000416,0.000416,0.000416
10,618.45,0.9788,0.82789,1.07727,0.85539,0.79598,0.90694,0.64506,0.98311,0.85362,1.06813,0.000218,0.000218,0.000218
