epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1498,1.24175,2.41242,1.28581,0.85161,0.48457,0.71431,0.4427,1.25614,2.02323,1.07499,0.000649573,0.000649573,0.000649573
2,138.824,1.20287,1.33681,1.25635,0.71781,0.75198,0.79658,0.51753,1.11992,1.29422,1.04771,0.00125109,0.00125109,0.00125109
3,210.631,1.11781,1.14891,1.20426,0.7104,0.7314,0.81009,0.54739,1.07486,1.24414,1.0867,0.0017866,0.0017866,0.0017866
4,285.085,1.10243,1.09026,1.18769,0.73105,0.80739,0.85507,0.58434,1.05517,1.14041,1.10481,0.001703,0.001703,0.001703
5,356.535,1.08904,1.03215,1.15905,0.74887,0.76517,0.8383,0.56082,1.12409,1.31326,1.12618,0.001604,0.001604,0.001604
6,427.046,1.09103,1.01395,1.16754,0.72133,0.78628,0.8152,0.54931,1.11994,1.18482,1.11174,0.001505,0.001505,0.001505
7,504.422,1.0868,0.95651,1.15063,0.78315,0.80211,0.86771,0.60834,1.05579,1.08162,1.10825,0.001406,0.001406,0.001406
8,584.047,1.0331,0.93037,1.13735,0.77784,0.79947,0.87843,0.61933,1.0394,0.95242,1.0802,0.001307,0.001307,0.001307
9,658.277,1.04138,0.90706,1.1384,0.77488,0.82322,0.87639,0.60042,1.04926,0.92684,1.08702,0.001208,0.001208,0.001208
10,734.315,1.02743,0.88371,1.11495,0.79883,0.79683,0.88718,0.63333,1.00582,0.89092,1.07097,0.001109,0.001109,0.001109
11,811.263,1.02416,0.97065,1.1137,0.75776,0.80886,0.8639,0.61588,1.02197,1.00327,1.11238,0.00101,0.00101,0.00101
12,883.837,1.00627,0.91153,1.10392,0.76427,0.787,0.86348,0.62012,1.01729,0.92153,1.11567,0.000911,0.000911,0.000911
13,953.088,0.99064,0.86502,1.09748,0.7867,0.80771,0.87946,0.62502,0.98548,0.89217,1.08614,0.000812,0.000812,0.000812
14,1023.08,0.9892,0.83328,1.08511,0.80724,0.80663,0.89734,0.63697,0.9823,0.86209,1.07504,0.000713,0.000713,0.000713
15,1098.51,0.97674,0.81132,1.07777,0.78523,0.80069,0.89127,0.63577,1.01625,0.86263,1.08495,0.000614,0.000614,0.000614
16,1173.13,0.96578,0.80044,1.0782,0.77683,0.82658,0.89504,0.63864,1.01525,0.82758,1.09445,0.000515,0.000515,0.000515
17,1247.84,0.9541,0.78524,1.07791,0.78298,0.8377,0.90004,0.65255,0.96831,0.83202,1.06896,0.000416,0.000416,0.000416
18,1322.94,0.95325,0.77715,1.07712,0.80581,0.82058,0.9064,0.65303,0.97514,0.80472,1.06851,0.000317,0.000317,0.000317
19,1396.77,0.94386,0.76331,1.07218,0.84964,0.76781,0.89693,0.65373,0.97342,0.81929,1.06379,0.000218,0.000218,0.000218
20,1468.03,0.93935,0.75218,1.05965,0.85827,0.76781,0.90175,0.66198,0.95873,0.81205,1.05723,0.000119,0.000119,0.000119
